time_bucket_id,unique_src_ips,unique_dst_ips,unique_dst_ports,avg_duration,failed_conns,tcp_count,dns_count,unique_domains,file_count,total_file_bytes,reporter_count,snmp_count,tunnel_count,unique_tunnel_types,failed_conn_ratio,tcp_ratio,snmp_write_ratio,traffic_asymmetry,total_bytes,src_concentration,weird_rate,dns_to_conn_ratio,nxdomain_ratio
126,1102,109,284,0.420841189286181,1626,1483,8.0,7.0,39.0,4005.0,17.0,7.0,0.0,0.0,0.8359897172236503,0.7624678663239075,0.0,-0.07965707542258166,57622.0,0.5665809768637532,0.009768637532133676,0.004113110539845758,0.0
127,1190,112,343,0.611389635403951,1774,1540,9.0,8.0,123.0,11568.0,13.0,3.0,0.0,0.0,0.7884444444444444,0.6844444444444444,0.0,-0.07180609325029456,89115.0,0.5288888888888889,0.012444444444444444,0.004,0.0
128,1202,110,526,0.6008599167560744,2000,1773,6.0,6.0,153.0,9693.0,6.0,2.0,1.0,1.0,0.819672131147541,0.726639344262295,0.0,0.16567514526494015,129935.0,0.4926229508196721,0.006147540983606557,0.002459016393442623,0.0
129,1220,119,335,0.9063806361065502,1724,1769,11.0,8.0,224.0,7185.0,9.0,2.0,1.0,1.0,0.7800904977375566,0.8004524886877828,0.0,0.1195209405566261,163988.0,0.5520361990950227,0.0009049773755656109,0.004977375565610859,0.0
130,1200,117,353,0.2783818310296878,1693,1526,5.0,5.0,43.0,1216.0,17.0,3.0,0.0,0.0,0.8682051282051282,0.7825641025641026,0.0,-0.9999645444359011,1156771893.0,0.6153846153846154,0.008717948717948718,0.002564102564102564,0.0
131,1074,119,341,0.4532487289334456,1548,1446,11.0,9.0,158.0,6235.0,9.0,1.0,1.0,1.0,0.8134524435102469,0.7598528638991067,0.0,0.409144040978076,105227.0,0.5643720441408303,0.009458749343142408,0.005780346820809248,0.0
132,1134,119,334,0.4386254139269813,1562,1474,6.0,5.0,73.0,2580.0,5.0,4.0,0.0,0.0,0.83663631494376,0.7895018746652384,0.0,0.0029684775950619613,42446.0,0.6073915372254954,0.0021424745581146223,0.0032137118371719335,0.0
133,1172,134,355,0.7232820995482702,1660,1515,10.0,9.0,85.0,6794.0,8.0,3.0,0.0,0.0,0.8295852073963018,0.7571214392803598,0.0,0.41677178342712984,82448.0,0.5857071464267866,0.004997501249375313,0.004997501249375313,0.0
134,1077,115,336,0.7297364164226062,1642,1497,5.0,5.0,79.0,7147.0,10.0,3.0,0.0,0.0,0.7924710424710425,0.7224903474903475,0.0,0.006441778127458694,81344.0,0.5197876447876448,0.006274131274131274,0.002413127413127413,0.0
135,932,99,324,0.5896161261285532,1391,1209,9.0,7.0,23.0,2024.0,16.0,1.0,0.0,0.0,0.7858757062146893,0.6830508474576271,0.0,-0.054759545766328785,52484.0,0.5265536723163842,0.007344632768361582,0.005084745762711864,0.0
136,959,119,374,0.6294609222341986,1437,1257,7.0,7.0,38.0,3051.0,17.0,2.0,0.0,0.0,0.7908640616400661,0.6917996697853604,0.0,0.07560289516103542,63278.0,0.5277930654925702,0.011557512383048982,0.003852504127682994,0.0
137,1066,97,516,0.8710643774679956,1651,1544,7.0,7.0,15.0,404.0,17.0,2.0,0.0,0.0,0.8372210953346856,0.7829614604462475,0.0,0.16296512760568868,61596.0,0.5405679513184585,0.010141987829614604,0.0035496957403651115,0.0
138,1199,106,556,1.8039360884073616,1810,3704,11.0,7.0,4062.0,69964.0,13.0,4.0,0.0,0.0,0.4336367992333493,0.8873981792046,0.0,0.11666224127626271,2011122.0,0.28725443219932917,0.005270723526593196,0.002635361763296598,0.2727272727272727
139,1207,110,375,0.4404066317374049,1756,1606,10.0,10.0,11.0,2018.0,18.0,6.0,0.0,0.0,0.849540396710208,0.7769714562167392,0.0,0.08866813833701251,54360.0,0.5839380745041123,0.008708272859216255,0.004837929366231253,0.0
140,1079,107,368,0.4597540215245619,1623,1490,12.0,12.0,21.0,3821.0,12.0,4.0,0.0,0.0,0.8284839203675345,0.7605921388463501,0.0,0.03187872616486278,60887.0,0.5507912200102093,0.02041858090862685,0.006125574272588055,0.0
141,1130,93,451,0.6694189188228136,1669,1567,9.0,9.0,34.0,1322.0,14.0,4.0,0.0,0.0,0.8246047430830039,0.7742094861660079,0.0,0.11617420905684041,66977.0,0.558300395256917,0.012845849802371542,0.004446640316205534,0.0
142,1460,94,386,0.4374323624089224,1974,1881,6.0,6.0,135.0,3838.0,17.0,0.0,0.0,0.0,0.8403575989782887,0.8007662835249042,0.0,0.011304853240337111,68820.0,0.6215410813111962,0.011919965942954448,0.002554278416347382,0.0
143,1411,94,397,0.4925785837814464,1889,1873,8.0,8.0,29.0,2023.0,16.0,3.0,0.0,0.0,0.8274200613228209,0.8204117389399912,0.0,0.02433048293435915,81626.0,0.6180464301357862,0.012264564169951819,0.003504161191414805,0.0
144,1322,108,424,0.5136496153525185,1890,1860,39.0,8.0,125.0,2720.0,19.0,4.0,0.0,0.0,0.7723743359215366,0.760114425827544,0.0,0.04313119356700547,102223.0,0.5402533714752759,0.012259910093992644,0.015937883122190438,0.0
